Lingala;English
moko;1	
ya liboso (or ya yambo);1st
mibale;2
ya mibale;2nd
misato;3
ya misato;3rd
minei;4
ya minei;4th
mitano;5
ya mitano;5th
motoba;6
ya motoba;6th
nsambo;7
ya nsambo;7th
mwambe;8
ya mwambe;8th
libwa;9	
ya libwa;9th
zomi;10
ya zomi;10th
zomi na moko;11
zomi na mibale;12
zomi na misato; 13
zomi na minei; 14
zomi na mitano; 15
zomi na motoba; 16
zomi na nsambo; 17
zomi na mwambe; 18
zomi na libwa; 19
ntuku mibale; 20
ntuku mibale na moko;21
ntuku misato;30
